Title,Price,Search,URL
"Apple Earbuds, 2 Pack iPhone Wired with Lightning Connector [Apple MFi Certified] Wired Earphones with Microphone Volume Control Music and Calling Headphones for iPhone 14/13/12/11/SE/X/XR/XS/8/7",$11.99,apple,https://www.amazon.com/Lightning-Connector-Certified-Microphone-Headphones/dp/B0C4Y3L4HT/ref=sr_1_4?keywords=apple&qid=1686632646&sr=8-4
"WAITIEE Wireless Charger 5 in 1,Wireless Charging Station for iWatch SE/7/6/5/4/3/2,AirPods Pro/3/2/1,Pencil,Fast Charger Dock for iPhone 13/13Pro/13Pro Max/12/12Pro/11/11 Pro Max/XR/XS Max/Xs(Black)",$24.97,apple,https://www.amazon.com/WAITIEE-Updated-Wireless-Charging-AirPods3/dp/B087WSPFBV/ref=sr_1_7?keywords=apple&qid=1686632646&sr=8-7
"Apple Gift Card - App Store, iTunes, iPhone, iPad, AirPods, MacBook, accessories and more (Email Delivery)",$25.00,apple,https://www.amazon.com/Apple-Gift-Card-accessories-Delivery/dp/B08F3BV69X/ref=sr_1_1?keywords=apple&qid=1686632646&sr=8-1
